,,,,,,,,,,,,,,,,
Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,Game time
254,MIA,12/17/23,-9,36.5,76,Sun,14,15,,NYJ,W 30-0,-9,covered,36.5,under,early
255,TAM,12/17/23,3.5,42.5,42,Sun,14,15,@,GNB,W 34-20,3.5,covered,42.5,over,early
256,GNB,12/17/23,-3.5,42.5,42,Sun,14,15,,TAM,L 20-34,-3.5,did not cover,42.5,over,early
257,CLE,12/17/23,-3,38,45,Sun,14,15,,CHI,W 20-17,-3,push,38,under,early
258,CHI,12/17/23,3,38,45,Sun,14,15,@,CLE,L 17-20,3,push,38,under,early
259,CAR,12/17/23,3,33,47,Sun,14,15,,ATL,W 9-7,3,covered,33,under,early
260,ATL,12/17/23,-3,33,47,Sun,14,15,@,CAR,L 7-9,-3,did not cover,33,under,early
261,MIN,12/16/23,3,41,53,Sat,14,15,@,CIN,L 24-27 (OT),3,push,41,over,early
262,CIN,12/16/23,-3,41,53,Sat,14,15,,MIN,W 27-24 (OT),-3,push,41,over,early
263,NYJ,12/10/23,3.5,33,58,Sun,13,14,,HOU,W 30-6,3.5,covered,33,over,early
264,ATL,12/10/23,-1,41,68,Sun,13,14,,TAM,L 25-29,-1,did not cover,41,over,early
265,TAM,12/10/23,1,41,68,Sun,13,14,@,ATL,W 29-25,1,covered,41,over,early
266,CHI,12/10/23,3,43,36,Sun,13,14,,DET,W 28-13,3,covered,43,under,early
267,DET,12/10/23,-3,43,36,Sun,13,14,@,CHI,L 13-28,-3,did not cover,43,under,early
268,CIN,12/10/23,-2.5,44.5,40,Sun,13,14,,IND,W 34-14,-2.5,covered,44.5,over,early
269,IND,12/10/23,2.5,44.5,40,Sun,13,14,@,CIN,L 14-34,2.5,did not cover,44.5,over,early
270,CLE,12/10/23,-2.5,34,39,Sun,13,14,,JAX,W 31-27,-2.5,covered,34,over,early
271,CAR,12/10/23,6,38.5,55,Sun,13,14,@,NOR,L 6-28,6,did not cover,38.5,under,early
272,NOR,12/10/23,-6,38.5,55,Sun,13,14,,CAR,W 28-6,-6,covered,38.5,under,early
273,HOU,12/10/23,-3.5,33,58,Sun,13,14,@,NYJ,L 6-30,-3.5,did not cover,33,over,early
274,JAX,12/10/23,2.5,34,39,Sun,13,14,@,CLE,L 27-31,2.5,did not cover,34,over,early
275,LAR,12/10/23,7.5,39.5,57,Sun,13,14,@,BAL,L 31-37 (OT),7.5,covered,39.5,over,early
276,BAL,12/10/23,-7.5,39.5,57,Sun,13,14,,LAR,W 37-31 (OT),-7.5,did not cover,39.5,over,early
277,WAS,12/3/23,9,49.5,53,Sun,13,13,,MIA,L 15-45,9,did not cover,49.5,over,early
278,MIA,12/3/23,-9,49.5,53,Sun,12,13,@,WAS,W 45-15,-9,covered,49.5,over,early
279,PIT,12/3/23,-6.5,41,56,Sun,12,13,,ARI,L 10-24,-6.5,did not cover,41,under,early
280,ARI,12/3/23,6.5,41,56,Sun,13,13,@,PIT,W 24-10,6.5,covered,41,under,early
281,TEN,12/3/23,1,42,53,Sun,12,13,,IND,L 28-31 (OT),1,did not cover,42,over,early
282,IND,12/3/23,-1,42,53,Sun,12,13,@,TEN,W 31-28 (OT),-1,covered,42,over,early
283,NYJ,12/3/23,2,33.5,50,Sun,12,13,,ATL,L 8-13,2,did not cover,33.5,under,early
284,ATL,12/3/23,-2,33.5,50,Sun,12,13,@,NYJ,W 13-8,-2,covered,33.5,under,early
285,LAC,12/3/23,-5.5,39,44,Sun,12,13,@,NWE,W 6-0,-5.5,covered,39,under,early
286,NWE,12/3/23,5.5,39,44,Sun,12,13,,LAC,L 0-6,5.5,did not cover,39,under,early
287,NOR,12/3/23,4.5,47.5,65,Sun,12,13,,DET,L 28-33,4.5,did not cover,47.5,over,early
288,DET,12/3/23,-4.5,47.5,65,Sun,12,13,@,NOR,W 33-28,-4.5,covered,47.5,over,early
289,HOU,12/3/23,-3,47,68,Sun,12,13,,DEN,W 22-17,-3,covered,47,under,early
290,DEN,12/3/23,3,47,68,Sun,12,13,@,HOU,L 17-22,3,did not cover,47,under,early
291,TEN,11/26/23,-3.5,36.5,51,Sun,11,12,,CAR,W 17-10,-3.5,covered,36.5,under,early
292,CAR,11/26/23,3.5,36.5,51,Sun,11,12,@,TEN,L 10-17,3.5,did not cover,36.5,under,early
293,NYG,11/26/23,4,34,43,Sun,12,12,,NWE,W 10-7,4,covered,34,under,early
294,NWE,11/26/23,-4,34,43,Sun,11,12,@,NYG,L 7-10,-4,did not cover,34,under,early
295,JAX,11/26/23,-1.5,48,57,Sun,11,12,@,HOU,W 24-21,-1.5,covered,48,under,early
296,HOU,11/26/23,1.5,48,57,Sun,11,12,,JAX,L 21-24,1.5,did not cover,48,under,early
297,TAM,11/26/23,2.5,45.5,37,Sun,11,12,@,IND,L 20-27,2.5,did not cover,45.5,over,early
298,IND,11/26/23,-2.5,45.5,37,Sun,11,12,,TAM,W 27-20,-2.5,covered,45.5,over,early
299,PIT,11/26/23,-2,36.5,48,Sun,11,12,@,CIN,W 16-10,-2,covered,36.5,under,early
300,CIN,11/26/23,2,36.5,48,Sun,11,12,,PIT,L 10-16,2,did not cover,36.5,under,early
301,NOR,11/26/23,-1.5,42,72,Sun,11,12,@,ATL,L 15-24,-1.5,did not cover,42,under,early
302,ATL,11/26/23,1.5,42,72,Sun,11,12,,NOR,W 24-15,1.5,covered,42,under,early
303,GNB,11/23/23,8,47,68,Thu,11,12,@,DET,W 29-22,8,covered,47,over,early
304,DET,11/23/23,-8,47,68,Thu,11,12,,GNB,L 22-29,-8,did not cover,47,over,early
305,WAS,11/19/23,-9,38,56,Sun,11,11,,NYG,L 19-31,-9,did not cover,38,over,early
306,NYG,11/19/23,9,38,56,Sun,11,11,@,WAS,W 31-19,9,covered,38,over,early
307,LVR,11/19/23,13.5,46,82,Sun,11,11,@,MIA,L 13-20,13.5,covered,46,under,early
308,MIA,11/19/23,-13.5,46,82,Sun,10,11,,LVR,W 20-13,-13.5,did not cover,46,under,early
309,TEN,11/19/23,6.5,40,75,Sun,10,11,@,JAX,L 14-34,6.5,did not cover,40,over,early
310,JAX,11/19/23,-6.5,40,75,Sun,10,11,,TEN,W 34-14,-6.5,covered,40,over,early
311,HOU,11/19/23,-5.5,49,68,Sun,10,11,,ARI,W 21-16,-5.5,did not cover,49,under,early
312,ARI,11/19/23,5.5,49,68,Sun,11,11,@,HOU,L 16-21,5.5,covered,49,under,early
313,LAC,11/19/23,-3,44,45,Sun,10,11,@,GNB,L 20-23,-3,did not cover,44,under,early
314,GNB,11/19/23,3,44,45,Sun,10,11,,LAC,W 23-20,3,covered,44,under,early
315,DET,11/19/23,-8,48,68,Sun,10,11,,CHI,W 31-26,-8,did not cover,48,over,early
316,CHI,11/19/23,8,48,68,Sun,11,11,@,DET,L 26-31,8,covered,48,over,early
317,PIT,11/19/23,2,33,48,Sun,10,11,@,CLE,L 10-13,2,did not cover,33,under,early
318,CLE,11/19/23,-2,33,48,Sun,10,11,,PIT,W 13-10,-2,covered,33,under,early
319,DAL,11/19/23,-11,43,65,Sun,10,11,@,CAR,W 33-10,-11,covered,43,push,early
320,CAR,11/19/23,11,43,65,Sun,10,11,,DAL,L 10-33,11,did not cover,43,push,early
321,TAM,11/12/23,-2.5,38.5,85,Sun,9,10,,TEN,W 20-6,-2.5,covered,38.5,under,early
322,TEN,11/12/23,2.5,38.5,85,Sun,9,10,@,TAM,L 6-20,2.5,did not cover,38.5,under,early
323,BAL,11/12/23,-6,38.5,49,Sun,10,10,,CLE,L 31-33,-6,did not cover,38.5,over,early
324,CLE,11/12/23,6,38.5,49,Sun,9,10,@,BAL,W 33-31,6,covered,38.5,over,early
325,PIT,11/12/23,-3,38.5,50,Sun,9,10,,GNB,W 23-19,-3,covered,38.5,over,early
326,GNB,11/12/23,3,38.5,50,Sun,9,10,@,PIT,L 19-23,3,did not cover,38.5,over,early
327,NWE,11/12/23,2.5,41.5,47,Sun,10,10,,IND,L 6-10,2.5,did not cover,41.5,under,early
328,IND,11/12/23,-2.5,41.5,47,Sun,10,10,@,NWE,W 10-6,-2.5,covered,41.5,under,early
329,NOR,11/12/23,-2.5,40.5,51,Sun,10,10,@,MIN,L 19-27,-2.5,did not cover,40.5,over,early
330,MIN,11/12/23,2.5,40.5,51,Sun,10,10,,NOR,W 27-19,2.5,covered,40.5,over,early
331,SFO,11/12/23,-3,44.5,59,Sun,9,10,@,JAX,W 34-3,-3,covered,44.5,under,early
332,JAX,11/12/23,3,44.5,59,Sun,9,10,,SFO,L 3-34,3,did not cover,44.5,under,early
333,HOU,11/12/23,5.5,45.5,56,Sun,9,10,@,CIN,W 30-27,5.5,covered,45.5,over,early
334,CIN,11/12/23,-5.5,45.5,56,Sun,9,10,,HOU,L 27-30,-5.5,did not cover,45.5,over,early
335,BAL,11/5/23,-6.5,44.5,70,Sun,9,9,,SEA,W 37-3,-6.5,covered,44.5,under,early
336,ATL,11/5/23,-3.5,39.5,70,Sun,9,9,,MIN,L 28-31,-3.5,did not cover,39.5,over,early
337,MIN,11/5/23,3.5,39.5,70,Sun,9,9,@,ATL,W 31-28,3.5,covered,39.5,over,early
338,CLE,11/5/23,-13.5,38.5,56,Sun,8,9,,ARI,W 27-0,-13.5,covered,38.5,under,early
339,ARI,11/5/23,13.5,38.5,56,Sun,9,9,@,CLE,L 0-27,13.5,did not cover,38.5,under,early
340,GNB,11/5/23,-3.5,37.5,51,Sun,8,9,,LAR,W 20-3,-3.5,covered,37.5,under,early
341,LAR,11/5/23,3.5,37.5,51,Sun,9,9,@,GNB,L 3-20,3.5,did not cover,37.5,under,early
342,HOU,11/5/23,-2.5,36.5,80,Sun,8,9,,TAM,W 39-37,-2.5,did not cover,36.5,over,early
343,TAM,11/5/23,2.5,36.5,80,Sun,8,9,@,HOU,L 37-39,2.5,covered,36.5,over,early
344,MIA,11/5/23,1.5,51.5,53,Sun,9,9,@,KAN,L 14-21,1.5,did not cover,51.5,under,early
345,CHI,11/5/23,8.5,42.5,72,Sun,9,9,@,NOR,L 17-24,8.5,covered,42.5,under,early
346,NOR,11/5/23,-8.5,42.5,72,Sun,9,9,,CHI,W 24-17,-8.5,did not cover,42.5,under,early
347,NWE,11/5/23,-2.5,40.5,62,Sun,9,9,,WAS,L 17-20,-2.5,did not cover,40.5,under,early
348,WAS,11/5/23,2.5,40.5,62,Sun,9,9,@,NWE,W 20-17,2.5,covered,40.5,under,early
349,SEA,11/5/23,6.5,44.5,70,Sun,8,9,@,BAL,L 3-37,6.5,did not cover,44.5,under,early
350,KAN,11/5/23,-1.5,51.5,53,Sun,9,9,,MIA,W 21-14,-1.5,covered,51.5,under,early
351,WAS,10/29/23,6.5,42.5,69,Sun,8,8,,PHI,L 31-38,6.5,did not cover,42.5,over,early
352,PHI,10/29/23,-6.5,42.5,69,Sun,8,8,@,WAS,W 38-31,-6.5,covered,42.5,over,early
353,PIT,10/29/23,2.5,40.5,58,Sun,7,8,,JAX,L 10-20,2.5,did not cover,40.5,under,early
354,JAX,10/29/23,-2.5,40.5,58,Sun,8,8,@,PIT,W 20-10,-2.5,covered,40.5,under,early
355,TEN,10/29/23,2.5,35.5,77,Sun,7,8,,ATL,W 28-23,2.5,covered,35.5,over,early
356,ATL,10/29/23,-2.5,35.5,77,Sun,8,8,@,TEN,L 23-28,-2.5,did not cover,35.5,over,early
357,NYJ,10/29/23,-3.5,34.5,52,Sun,7,8,@,NYG,W 13-10 (OT),-3.5,did not cover,34.5,under,early
358,NYG,10/29/23,3.5,34.5,52,Sun,8,8,,NYJ,L 10-13 (OT),3.5,covered,34.5,under,early
359,NWE,10/29/23,8.5,46.5,83,Sun,8,8,@,MIA,L 17-31,8.5,did not cover,46.5,over,early
360,MIA,10/29/23,-8.5,46.5,83,Sun,8,8,,NWE,W 31-17,-8.5,covered,46.5,over,early
361,MIN,10/29/23,-1.5,41.5,39,Sun,8,8,@,GNB,W 24-10,-1.5,covered,41.5,under,early
362,GNB,10/29/23,1.5,41.5,39,Sun,7,8,,MIN,L 10-24,1.5,did not cover,41.5,under,early
363,LAR,10/29/23,6.5,44.5,45,Sun,8,8,@,DAL,L 20-43,6.5,did not cover,44.5,over,early
364,DAL,10/29/23,-6.5,44.5,45,Sun,7,8,,LAR,W 43-20,-6.5,covered,44.5,over,early
365,NOR,10/29/23,-1.5,43.5,51,Sun,8,8,@,IND,W 38-27,-1.5,covered,43.5,over,early
366,IND,10/29/23,1.5,43.5,51,Sun,8,8,,NOR,L 27-38,1.5,did not cover,43.5,over,early
367,HOU,10/29/23,-3.5,42.5,77,Sun,7,8,@,CAR,L 13-15,-3.5,did not cover,42.5,under,early
368,CAR,10/29/23,3.5,42.5,77,Sun,7,8,,HOU,W 15-13,3.5,covered,42.5,under,early
369,DET,10/22/23,3,43.5,62,Sun,7,7,@,BAL,L 6-38,3,did not cover,43.5,over,early
370,CHI,10/22/23,2.5,38.5,52,Sun,7,7,,LVR,W 30-12,2.5,covered,38.5,over,early
371,LVR,10/22/23,-2.5,38.5,52,Sun,7,7,@,CHI,L 12-30,-2.5,did not cover,38.5,over,early
372,CLE,10/22/23,-3.5,39.5,53,Sun,6,7,@,IND,W 39-38,-3.5,did not cover,39.5,over,early
373,IND,10/22/23,3.5,39.5,53,Sun,7,7,,CLE,L 38-39,3.5,covered,39.5,over,early
374,BUF,10/22/23,-7.5,41.5,55,Sun,7,7,@,NWE,L 25-29,-7.5,did not cover,41.5,over,early
375,NWE,10/22/23,7.5,41.5,55,Sun,7,7,,BUF,W 29-25,7.5,covered,41.5,over,early
376,WAS,10/22/23,-3,36.5,54,Sun,7,7,@,NYG,L 7-14,-3,did not cover,36.5,under,early
377,BAL,10/22/23,-3,43.5,62,Sun,7,7,,DET,W 38-6,-3,covered,43.5,over,early
378,ATL,10/22/23,3,37.5,79,Sun,7,7,@,TAM,W 16-13,3,covered,37.5,under,early
379,TAM,10/22/23,-3,37.5,79,Sun,6,7,,ATL,L 13-16,-3,did not cover,37.5,under,early
380,NYG,10/22/23,3,36.5,54,Sun,7,7,,WAS,W 14-7,3,covered,36.5,under,early
381,CLE,10/15/23,9.5,35.5,53,Sun,5,6,,SFO,W 19-17,9.5,covered,35.5,over,early
382,ATL,10/15/23,-1.5,41.5,62,Sun,6,6,,WAS,L 16-24,-1.5,did not cover,41.5,under,early
383,WAS,10/15/23,1.5,41.5,62,Sun,6,6,@,ATL,W 24-16,1.5,covered,41.5,under,early
384,CHI,10/15/23,3,44.5,53,Sun,6,6,,MIN,L 13-19,3,did not cover,44.5,under,early
385,MIN,10/15/23,-3,44.5,53,Sun,6,6,@,CHI,W 19-13,-3,covered,44.5,under,early
386,CIN,10/15/23,-3,45.5,57,Sun,6,6,,SEA,W 17-13,-3,covered,45.5,under,early
387,SEA,10/15/23,3,45.5,57,Sun,5,6,@,CIN,L 13-17,3,did not cover,45.5,under,early
388,HOU,10/15/23,2.5,41.5,67,Sun,6,6,,NOR,W 20-13,2.5,covered,41.5,under,early
389,NOR,10/15/23,-2.5,41.5,67,Sun,6,6,@,HOU,L 13-20,-2.5,did not cover,41.5,under,early
390,CAR,10/15/23,14,47.5,87,Sun,6,6,@,MIA,L 21-42,14,did not cover,47.5,over,early
391,MIA,10/15/23,-14,47.5,87,Sun,6,6,,CAR,W 42-21,-14,covered,47.5,over,early
392,TEN,10/15/23,5,42.5,52,Sun,6,6,,BAL,L 16-24,5,did not cover,42.5,under,early
393,BAL,10/15/23,-5,42.5,52,Sun,6,6,@,TEN,W 24-16,-5,covered,42.5,under,early
394,SFO,10/15/23,-9.5,35.5,53,Sun,6,6,@,CLE,L 17-19,-9.5,did not cover,35.5,over,early
395,CAR,10/8/23,9.5,43.5,68,Sun,5,5,@,DET,L 24-42,9.5,did not cover,43.5,over,early
396,ATL,10/8/23,-2.5,42,63,Sun,5,5,,HOU,W 21-19,-2.5,did not cover,42,under,early
397,TEN,10/8/23,-2.5,43.5,53,Sun,5,5,@,IND,L 16-23,-2.5,did not cover,43.5,under,early
398,IND,10/8/23,2.5,43.5,53,Sun,5,5,,TEN,W 23-16,2.5,covered,43.5,under,early
399,HOU,10/8/23,2.5,42,63,Sun,5,5,@,ATL,L 19-21,2.5,covered,42,under,early
400,MIA,10/8/23,-13,47.5,88,Sun,5,5,,NYG,W 31-16,-13,covered,47.5,under,early
401,CAR,10/8/23,9.5,43.5,68,Sun,5,5,@,DET,L 24-42,9.5,did not cover,43.5,over,early
402,DET,10/8/23,-9.5,43.5,68,Sun,5,5,,CAR,W 42-24,-9.5,covered,43.5,over,early
403,MIA,10/8/23,-13,47.5,88,Sun,5,5,,NYG,W 31-16,-13,covered,47.5,under,early
404,NYG,10/8/23,13,47.5,88,Sun,5,5,@,MIA,L 16-31,13,did not cover,47.5,under,early
405,NOR,10/8/23,1.5,38.5,61,Sun,5,5,@,NWE,W 34-0,1.5,covered,38.5,under,early
406,NWE,10/8/23,-1.5,38.5,61,Sun,5,5,,NOR,L 0-34,-1.5,did not cover,38.5,under,early
407,PIT,10/8/23,4.5,38.5,53,Sun,5,5,,BAL,W 17-10,4.5,covered,38.5,under,early
408,BAL,10/8/23,-4.5,38.5,53,Sun,5,5,@,PIT,L 10-17,-4.5,did not cover,38.5,under,early
409,BUF,10/1/23,-2.5,53,70,Sun,4,4,,MIA,W 48-20,-2.5,covered,53,over,early
410,MIA,10/1/23,2.5,53,70,Sun,4,4,@,BUF,L 20-48,2.5,did not cover,53,over,early
411,CAR,10/1/23,4.5,46.5,78,Sun,4,4,,MIN,L 13-21,4.5,did not cover,46.5,under,early
412,MIN,10/1/23,-4.5,46.5,78,Sun,4,4,@,CAR,W 21-13,-4.5,covered,46.5,under,early
413,CHI,10/1/23,3,47,80,Sun,4,4,,DEN,L 28-31,3,push,47,over,early
414,DEN,10/1/23,-3,47,80,Sun,4,4,@,CHI,W 31-28,-3,push,47,over,early
415,CLE,10/1/23,2.5,41,71,Sun,4,4,,BAL,L 3-28,2.5,did not cover,41,under,early
416,BAL,10/1/23,-2.5,41,71,Sun,4,4,@,CLE,W 28-3,-2.5,covered,41,under,early
417,IND,10/1/23,1,44.5,80,Sun,4,4,,LAR,L 23-29 (OT),1,did not cover,44.5,over,early
418,LAR,10/1/23,-1,44.5,80,Sun,4,4,@,IND,W 29-23 (OT),-1,covered,44.5,over,early
419,HOU,10/1/23,3,41.5,90,Sun,4,4,,PIT,W 30-6,3,covered,41.5,under,early
420,PIT,10/1/23,-3,41.5,90,Sun,4,4,@,HOU,L 6-30,-3,did not cover,41.5,under,early
421,ATL,10/1/23,3.5,42.5,72,Sun,4,4,@,JAX,L 7-23,3.5,did not cover,42.5,under,early
422,JAX,10/1/23,-3.5,42.5,72,Sun,4,4,,ATL,W 23-7,-3.5,covered,42.5,under,early
423,NOR,10/1/23,-4.5,41,82,Sun,4,4,,TAM,L 9-26,-4.5,did not cover,41,under,early
424,TAM,10/1/23,4.5,41,82,Sun,4,4,@,NOR,W 26-9,4.5,covered,41,under,early
425,CIN,10/1/23,-2.5,41.5,82,Sun,4,4,@,TEN,L 3-27,-2.5,did not cover,41.5,under,early
426,TEN,10/1/23,2.5,41.5,82,Sun,4,4,,CIN,W 27-3,2.5,covered,41.5,under,early
427,CLE,9/24/23,-3.5,38,68,Sun,3,3,,TEN,W 27-3,-3.5,covered,38,under,early
428,TEN,9/24/23,3.5,38,68,Sun,3,3,@,CLE,L 3-27,3.5,did not cover,38,under,early
429,ATL,9/24/23,3,47.5,0,Sun,3,3,@,DET,L 6-20,3,did not cover,47.5,under,early
430,DET,9/24/23,-3,47.5,0,Sun,3,3,,ATL,W 20-6,-3,covered,47.5,under,early
431,GNB,9/24/23,-1.5,41.5,68,Sun,3,3,,NOR,W 18-17,-1.5,did not cover,41.5,under,early
432,NOR,9/24/23,1.5,41.5,68,Sun,3,3,@,GNB,L 17-18,1.5,covered,41.5,under,early
433,HOU,9/24/23,9.5,43.5,84,Sun,3,3,@,JAX,W 37-17,9.5,covered,43.5,over,early
434,JAX,9/24/23,-9.5,43.5,84,Sun,3,3,,HOU,L 17-37,-9.5,did not cover,43.5,over,early
435,DEN,9/24/23,6,47.5,86,Sun,3,3,@,MIA,L 20-70,6,did not cover,47.5,over,early
436,MIA,9/24/23,-6,47.5,86,Sun,3,3,,DEN,W 70-20,-6,covered,47.5,over,early
437,MIN,9/24/23,-1,53,67,Sun,3,3,,LAC,L 24-28,-1,did not cover,53,under,early
438,LAC,9/24/23,1,53,67,Sun,3,3,@,MIN,W 28-24,1,covered,53,under,early
439,NWE,9/24/23,-2.5,35.5,64,Sun,3,3,@,NYJ,W 15-10,-2.5,covered,35.5,under,early
440,NYJ,9/24/23,2.5,35.5,64,Sun,3,3,,NWE,L 10-15,2.5,did not cover,35.5,under,early
441,IND,9/24/23,7.5,44.5,68,Sun,3,3,@,BAL,W 22-19 (OT),7.5,covered,44.5,under,early
442,BAL,9/24/23,-7.5,44.5,68,Sun,3,3,,IND,L 19-22 (OT),-7.5,did not cover,44.5,under,early
443,BUF,9/24/23,-4.5,43.5,65,Sun,3,3,@,WAS,W 37-3,-4.5,covered,43.5,under,early
444,WAS,9/24/23,4.5,43.5,65,Sun,3,3,,BUF,L 3-37,4.5,did not cover,43.5,under,early
445,ATL,9/17/23,-3,40.5,69,Sun,2,2,,GNB,W 25-24,-3,did not cover,40.5,over,early
446,GNB,9/17/23,3,40.5,69,Sun,2,2,@,ATL,L 24-25,3,covered,40.5,over,early
447,BUF,9/17/23,-8,47,70,Sun,2,2,,LVR,W 38-10,-8,covered,47,over,early
448,LVR,9/17/23,8,47,70,Sun,2,2,@,BUF,L 10-38,8,did not cover,47,over,early
449,CIN,9/17/23,-3.5,45.5,72,Sun,2,2,,BAL,L 24-27,-3.5,did not cover,45.5,over,early
450,BAL,9/17/23,3.5,45.5,72,Sun,2,2,@,CIN,W 27-24,3.5,covered,45.5,over,early
451,DET,9/17/23,-4.5,47,68,Sun,2,2,,SEA,L 31-37 (OT),-4.5,did not cover,47,over,early
452,SEA,9/17/23,4.5,47,68,Sun,2,2,@,DET,W 37-31 (OT),4.5,covered,47,over,early
453,IND,9/17/23,1,40,85,Sun,2,2,@,HOU,W 31-20,1,covered,40,over,early
454,HOU,9/17/23,-1,40,85,Sun,2,2,,IND,L 20-31,-1,did not cover,40,over,early
455,JAX,9/17/23,3.5,51,87,Sun,2,2,,KAN,L 9-17,3.5,did not cover,51,under,early
456,KAN,9/17/23,-3.5,51,87,Sun,2,2,@,JAX,W 17-9,-3.5,covered,51,under,early
457,TEN,9/17/23,2.5,45.5,64,Sun,2,2,,LAC,W 27-24 (OT),2.5,covered,45.5,over,early
458,LAC,9/17/23,-2.5,45.5,64,Sun,2,2,@,TEN,L 24-27 (OT),-2.5,did not cover,45.5,over,early
459,CHI,9/17/23,2.5,42,89,Sun,2,2,@,TAM,L 17-27,2.5,did not cover,42,over,early
460,TAM,9/17/23,-2.5,42,89,Sun,2,2,,CHI,W 27-17,-2.5,covered,42,over,early
461,ATL,9/10/23,-3.5,39.5,72,Sun,1,1,,CAR,W 24-10,-3.5,covered,39.5,under,early
462,CAR,9/10/23,3.5,39.5,72,Sun,1,1,@,ATL,L 10-24,3.5,did not cover,39.5,under,early
463,CIN,9/10/23,-1.5,47.5,68,Sun,1,1,@,CLE,L 3-24,-1.5,did not cover,47.5,under,early
464,CLE,9/10/23,1.5,47.5,68,Sun,1,1,,CIN,W 24-3,1.5,covered,47.5,under,early
465,IND,9/10/23,3.5,46.5,72,Sun,1,1,,JAX,L 21-31,3.5,did not cover,46.5,over,early
466,JAX,9/10/23,-3.5,46.5,72,Sun,1,1,@,IND,W 31-21,-3.5,covered,46.5,over,early
467,MIN,9/10/23,-4.5,45.5,67,Sun,1,1,,TAM,L 17-20,-4.5,did not cover,45.5,under,early
468,TAM,9/10/23,4.5,45.5,67,Sun,1,1,@,MIN,W 20-17,4.5,covered,45.5,under,early
469,NOR,9/10/23,-3,41.5,83,Sun,1,1,,TEN,W 16-15,-3,did not cover,41.5,under,early
470,TEN,9/10/23,3,41.5,83,Sun,1,1,@,NOR,L 15-16,3,covered,41.5,under,early
471,PIT,9/10/23,1.5,41.5,72,Sun,1,1,,SFO,L 7-30,1.5,did not cover,41.5,under,early
472,SFO,9/10/23,-1.5,41.5,72,Sun,1,1,@,PIT,W 30-7,-1.5,covered,41.5,under,early
473,HOU,9/10/23,9.5,43.5,78,Sun,1,1,@,BAL,L 9-25,9.5,did not cover,43.5,under,early
474,BAL,9/10/23,-9.5,43.5,78,Sun,1,1,,HOU,W 25-9,-9.5,covered,43.5,under,early
475,ARI,9/10/23,6.5,38.5,76,Sun,1,1,@,WAS,L 16-20,6.5,covered,38.5,under,early
476,WAS,9/10/23,-6.5,38.5,76,Sun,1,1,,ARI,W 20-16,-6.5,did not cover,38.5,under,early
477,ATL,1/8/23,-4,40.5,57,Sun,17,18,,TAM,W 30-17,-4,covered,40.5,over,early
478,TAM,1/8/23,4,40.5,57,Sun,17,18,@,ATL,L 17-30,4,did not cover,40.5,over,early
479,BUF,1/8/23,-7.5,43.5,30,Sun,16,18,,NWE,W 35-23,-7.5,covered,43.5,over,early
480,NWE,1/8/23,7.5,43.5,30,Sun,17,18,@,BUF,L 23-35,7.5,did not cover,43.5,over,early
481,CHI,1/8/23,7,42.5,32,Sun,17,18,,MIN,L 13-29,7,did not cover,42.5,under,early
482,MIN,1/8/23,-7,42.5,32,Sun,17,18,@,CHI,W 29-13,-7,covered,42.5,under,early
483,CIN,1/8/23,-9,39.5,38,Sun,16,18,,BAL,W 27-16,-9,covered,39.5,over,early
484,BAL,1/8/23,9,39.5,38,Sun,17,18,@,CIN,L 16-27,9,did not cover,39.5,over,early
485,IND,1/8/23,-2.5,37.5,36,Sun,17,18,,HOU,L 31-32,-2.5,did not cover,37.5,over,early
486,HOU,1/8/23,2.5,37.5,36,Sun,17,18,@,IND,W 32-31,2.5,covered,37.5,over,early
487,MIA,1/8/23,-3.5,37,75,Sun,17,18,,NYJ,W 11-6,-3.5,covered,37,under,early
488,NYJ,1/8/23,3.5,37,75,Sun,17,18,@,MIA,L 6-11,3.5,did not cover,37,under,early
489,CAR,1/8/23,3.5,41.5,62,Sun,17,18,@,NOR,W 10-7,3.5,covered,41.5,under,early
490,NOR,1/8/23,-3.5,41.5,62,Sun,17,18,,CAR,L 7-10,-3.5,did not cover,41.5,under,early
491,CLE,1/8/23,2.5,40,36,Sun,17,18,@,PIT,L 14-28,2.5,did not cover,40,over,early
492,PIT,1/8/23,-2.5,40,36,Sun,17,18,,CLE,W 28-14,-2.5,covered,40,over,early
493,ATL,1/1/23,-6,41,66,Sun,16,17,,ARI,W 20-19,-6,did not cover,41,under,early
494,ARI,1/1/23,6,41,66,Sun,16,17,@,ATL,L 19-20,6,covered,41,under,early
495,CHI,1/1/23,6,52.5,38,Sun,16,17,@,DET,L 10-41,6,did not cover,52.5,under,early
496,DET,1/1/23,-6,52.5,38,Sun,16,17,,CHI,W 41-10,-6,covered,52.5,under,early
497,HOU,1/1/23,3,43,70,Sun,16,17,,JAX,L 3-31,3,did not cover,43,under,early
498,JAX,1/1/23,-3,43,70,Sun,16,17,@,HOU,W 31-3,-3,covered,43,under,early
499,DEN,1/1/23,12.5,45,47,Sun,16,17,@,KAN,L 24-27,12.5,covered,45,over,early
500,KAN,1/1/23,-12.5,45,47,Sun,16,17,,DEN,W 27-24,-12.5,did not cover,45,over,early
501,MIA,1/1/23,2.5,41,53,Sun,16,17,@,NWE,L 21-23,2.5,covered,41,over,early
502,NWE,1/1/23,-2.5,41,53,Sun,16,17,,MIA,W 23-21,-2.5,did not cover,41,over,early
