Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,after_bye
230,LAR,10/6/24,3,48.5,73,Sun,5,5,,GNB,L 19-24,3,did not cover,48.5,under,0
231,BAL,10/6/24,-1,48.5,81,Sun,5,5,@,CIN,W 41-38 (OT),-1,covered,48.5,over,0
232,SEA,10/6/24,-7,43,61,Sun,5,5,,NYG,L 20-29,-7,did not cover,43,over,0
233,SFO,10/6/24,-7,49,89,Sun,5,5,,ARI,L 23-24,-7,did not cover,49,under,0
234,WAS,10/6/24,-3,43.5,73,Sun,5,5,,CLE,W 34-13,-3,covered,43.5,over,0
235,ATL,10/3/24,-1.5,44,0,Thu,5,5,,TAM,W 36-30 (OT),-1.5,covered,44,over,0
236,TAM,10/3/24,1.5,44,0,Thu,5,5,@,ATL,L 30-36 (OT),1.5,did not cover,44,over,0
237,DET,9/30/24,-4,47,71,Mon,4,4,,SEA,W 42-29,-4,covered,47,over,0
238,MIA,9/30/24,-2.5,37,86,Mon,4,4,,TEN,L 12-31,-2.5,did not cover,37,over,0
239,TEN,9/30/24,2.5,37,86,Mon,4,4,@,MIA,W 31-12,2.5,covered,37,over,0
240,SEA,9/30/24,4,47,71,Mon,4,4,@,DET,L 29-42,4,did not cover,47,over,0
241,ATL,9/29/24,-2.5,41,75,Sun,4,4,,NOR,W 26-24,-2.5,did not cover,41,over,0
242,BUF,9/29/24,2.5,46.5,68,Sun,4,4,@,BAL,L 10-35,2.5,did not cover,46.5,under,0
243,CAR,9/29/24,4.5,47,78,Sun,4,4,,CIN,L 24-34,4.5,did not cover,47,over,0
244,CHI,9/29/24,-3,40.5,70,Sun,4,4,,LAR,W 24-18,-3,covered,40.5,over,0
245,CIN,9/29/24,-4.5,47,78,Sun,4,4,@,CAR,W 34-24,-4.5,covered,47,over,0
246,CLE,9/29/24,-2.5,36.5,99,Sun,4,4,@,LVR,L 16-20,-2.5,did not cover,36.5,under,0
247,IND,9/29/24,1,40.5,70,Sun,4,4,,PIT,W 27-24,1,covered,40.5,over,0
248,ARI,9/29/24,-3.5,48.5,106,Sun,4,4,,WAS,L 14-42,-3.5,did not cover,48.5,over,0
249,DEN,9/29/24,9,40,67,Sun,4,4,@,NYJ,W 10-9,9,covered,40,under,0
250,GNB,9/29/24,-3,44,71,Sun,4,4,,MIN,L 29-31,-3,did not cover,44,over,0
251,HOU,9/29/24,-5.5,44.5,82,Sun,4,4,,JAX,W 24-20,-5.5,did not cover,44.5,under,0
252,JAX,9/29/24,5.5,44.5,82,Sun,4,4,@,HOU,L 20-24,5.5,covered,44.5,under,0
253,KAN,9/29/24,-7,41,68,Sun,4,4,@,LAC,W 17-10,-7,push,41,under,0
254,MIN,9/29/24,3,44,71,Sun,4,4,@,GNB,W 31-29,3,covered,44,over,0
255,NOR,9/29/24,2.5,41,75,Sun,4,4,@,ATL,L 24-26,2.5,covered,41,over,0
256,NWE,9/29/24,10,40.5,71,Sun,4,4,@,SFO,L 13-30,10,did not cover,40.5,over,0
257,NYJ,9/29/24,-9,40,67,Sun,4,4,,DEN,L 9-10,-9,did not cover,40,under,0
258,PHI,9/29/24,-1,42.5,88,Sun,4,4,@,TAM,L 16-33,-1,did not cover,42.5,over,0
259,PIT,9/29/24,-1,40.5,70,Sun,4,4,@,IND,L 24-27,-1,did not cover,40.5,over,0
260,LVR,9/29/24,2.5,36.5,99,Sun,4,4,,CLE,W 20-16,2.5,covered,36.5,under,0
261,LAR,9/29/24,3,40.5,70,Sun,4,4,@,CHI,L 18-24,3,did not cover,40.5,over,0
262,BAL,9/29/24,-2.5,46.5,68,Sun,4,4,,BUF,W 35-10,-2.5,covered,46.5,under,0
263,LAC,9/29/24,7,41,68,Sun,4,4,,KAN,L 10-17,7,push,41,under,0
264,SFO,9/29/24,-10,40.5,71,Sun,4,4,,NWE,W 30-13,-10,covered,40.5,over,0
265,TAM,9/29/24,1,42.5,88,Sun,4,4,,PHI,W 33-16,1,covered,42.5,over,0
266,WAS,9/29/24,3.5,48.5,106,Sun,4,4,@,ARI,W 42-14,3.5,covered,48.5,over,0
267,DAL,9/26/24,-6,45.5,74,Thu,4,4,@,NYG,W 20-15,-6,did not cover,45.5,under,0
268,NYG,9/26/24,6,45.5,74,Thu,4,4,,DAL,L 15-20,6,covered,45.5,under,0
269,BUF,9/23/24,-5.5,45.5,68,Mon,3,3,,JAX,W 47-10,-5.5,covered,45.5,over,0
270,CIN,9/23/24,-7.5,46.5,69,Mon,3,3,,WAS,L 33-38,-7.5,did not cover,46.5,over,0
271,JAX,9/23/24,5.5,45.5,68,Mon,3,3,@,BUF,L 10-47,5.5,did not cover,45.5,over,0
272,WAS,9/23/24,7.5,46.5,69,Mon,3,3,@,CIN,W 38-33,7.5,covered,46.5,over,0
273,ATL,9/22/24,3,46.5,89,Sun,3,3,,KAN,L 17-22,3,did not cover,46.5,under,0
274,CAR,9/22/24,5.5,40,86,Sun,3,3,@,LVR,W 36-22,5.5,covered,40,over,0
275,CHI,9/22/24,1,43.5,75,Sun,3,3,@,IND,L 16-21,1,did not cover,43.5,under,0
276,CLE,9/22/24,-6.5,38.5,76,Sun,3,3,,NYG,L 15-21,-6.5,did not cover,38.5,under,0
277,IND,9/22/24,-1,43.5,75,Sun,3,3,,CHI,W 21-16,-1,covered,43.5,under,0
278,ARI,9/22/24,2.5,51.5,93,Sun,3,3,,DET,L 13-20,2.5,did not cover,51.5,under,0
279,DAL,9/22/24,1,48,94,Sun,3,3,,BAL,L 25-28,1,did not cover,48,over,0
280,DEN,9/22/24,6,41,85,Sun,3,3,@,TAM,W 26-7,6,covered,41,under,0
281,DET,9/22/24,-2.5,51.5,93,Sun,3,3,@,ARI,W 20-13,-2.5,covered,51.5,under,0
282,GNB,9/22/24,3,37.5,87,Sun,3,3,@,TEN,W 30-14,3,covered,37.5,over,0
283,HOU,9/22/24,-1,46.5,63,Sun,3,3,@,MIN,L 7-34,-1,did not cover,46.5,under,0
284,KAN,9/22/24,-3,46.5,89,Sun,3,3,@,ATL,W 22-17,-3,covered,46.5,under,0
285,MIA,9/22/24,4.5,41.5,64,Sun,3,3,@,SEA,L 3-24,4.5,did not cover,41.5,under,0
286,MIN,9/22/24,1,46.5,63,Sun,3,3,,HOU,W 34-7,1,covered,46.5,under,0
287,NOR,9/22/24,-2.5,49.5,87,Sun,3,3,,PHI,L 12-15,-2.5,did not cover,49.5,under,0
288,NYG,9/22/24,6.5,38.5,76,Sun,3,3,@,CLE,W 21-15,6.5,covered,38.5,under,0
289,TEN,9/22/24,-3,37.5,87,Sun,3,3,,GNB,L 14-30,-3,did not cover,37.5,over,0
290,PHI,9/22/24,2.5,49.5,87,Sun,3,3,@,NOR,W 15-12,2.5,covered,49.5,under,0
291,PIT,9/22/24,-1,34.5,72,Sun,3,3,,LAC,W 20-10,-1,covered,34.5,under,0
292,LVR,9/22/24,-5.5,40,86,Sun,3,3,,CAR,L 22-36,-5.5,did not cover,40,over,0
293,LAR,9/22/24,6.5,43.5,75,Sun,3,3,,SFO,W 27-24,6.5,covered,43.5,over,0
294,BAL,9/22/24,-1,48,94,Sun,3,3,@,DAL,W 28-25,-1,covered,48,over,0
295,LAC,9/22/24,1,34.5,72,Sun,3,3,@,PIT,L 10-20,1,did not cover,34.5,under,0
296,SEA,9/22/24,-4.5,41.5,64,Sun,3,3,,MIA,W 24-3,-4.5,covered,41.5,under,0
297,SFO,9/22/24,-6.5,43.5,75,Sun,3,3,@,LAR,L 24-27,-6.5,did not cover,43.5,over,0
298,TAM,9/22/24,-6,41,85,Sun,3,3,,DEN,L 7-26,-6,did not cover,41,under,0
299,NWE,9/19/24,6,38.5,75,Thu,3,3,@,NYJ,L 3-24,6,did not cover,38.5,under,0
300,NYJ,9/19/24,-6,38.5,75,Thu,3,3,,NWE,W 24-3,-6,covered,38.5,under,0
301,ATL,9/16/24,5.5,45.5,71,Mon,2,2,@,PHI,W 22-21,5.5,covered,45.5,under,0
302,PHI,9/16/24,-5.5,45.5,71,Mon,2,2,,ATL,L 21-22,-5.5,did not cover,45.5,under,0
303,CAR,9/15/24,5,38.5,78,Sun,2,2,,LAC,L 3-26,5,did not cover,38.5,under,0
304,CHI,9/15/24,6,45,89,Sun,2,2,@,HOU,L 13-19,6,push,45,under,0
305,CIN,9/15/24,6,48,89,Sun,2,2,@,KAN,L 25-26,6,covered,48,over,0
306,CLE,9/15/24,3,41,80,Sun,2,2,@,JAX,W 18-13,3,covered,41,under,0
307,IND,9/15/24,-2.5,40.5,85,Sun,2,2,@,GNB,L 10-16,-2.5,did not cover,40.5,under,0
308,ARI,9/15/24,0,47.5,97,Sun,2,2,,LAR,W 41-10,0,covered,47.5,over,0
309,DAL,9/15/24,-6,46.5,86,Sun,2,2,,NOR,L 19-44,-6,did not cover,46.5,over,0
310,DEN,9/15/24,2.5,36.5,83,Sun,2,2,,PIT,L 6-13,2.5,did not cover,36.5,under,0
311,DET,9/15/24,-7.5,51.5,68,Sun,2,2,,TAM,L 16-20,-7.5,did not cover,51.5,under,0
312,GNB,9/15/24,2.5,40.5,85,Sun,2,2,,IND,W 16-10,2.5,covered,40.5,under,0
313,HOU,9/15/24,-6,45,89,Sun,2,2,,CHI,W 19-13,-6,push,45,under,0
314,JAX,9/15/24,-3,41,80,Sun,2,2,,CLE,L 13-18,-3,did not cover,41,under,0
315,KAN,9/15/24,-6,48,89,Sun,2,2,,CIN,W 26-25,-6,did not cover,48,over,0
316,MIN,9/15/24,4.5,46,82,Sun,2,2,,SFO,W 23-17,4.5,covered,46,under,0
317,NOR,9/15/24,6,46.5,86,Sun,2,2,@,DAL,W 44-19,6,covered,46.5,over,0
318,NWE,9/15/24,3,38,77,Sun,2,2,,SEA,L 20-23 (OT),3,push,38,over,0
319,NYG,9/15/24,1,43,82,Sun,2,2,@,WAS,L 18-21,1,did not cover,43,under,0
320,NYJ,9/15/24,-3.5,41,80,Sun,2,2,@,TEN,W 24-17,-3.5,covered,41,push,0
321,TEN,9/15/24,3.5,41,80,Sun,2,2,,NYJ,L 17-24,3.5,did not cover,41,push,0
322,PIT,9/15/24,-2.5,36.5,83,Sun,2,2,@,DEN,W 13-6,-2.5,covered,36.5,under,0
323,LVR,9/15/24,9,41.5,76,Sun,2,2,@,BAL,W 26-23,9,covered,41.5,over,0
324,LAR,9/15/24,0,47.5,97,Sun,2,2,@,ARI,L 10-41,0,did not cover,47.5,over,0
325,BAL,9/15/24,-9,41.5,76,Sun,2,2,,LVR,L 23-26,-9,did not cover,41.5,over,0
326,LAC,9/15/24,-5,38.5,78,Sun,2,2,@,CAR,W 26-3,-5,covered,38.5,under,0
327,SEA,9/15/24,-3,38,77,Sun,2,2,@,NWE,W 23-20 (OT),-3,push,38,over,0
328,SFO,9/15/24,-4.5,46,82,Sun,2,2,@,MIN,L 17-23,-4.5,did not cover,46,under,0
329,TAM,9/15/24,7.5,51.5,68,Sun,2,2,@,DET,W 20-16,7.5,covered,51.5,under,0
330,WAS,9/15/24,-1,43,82,Sun,2,2,,NYG,W 21-18,-1,covered,43,under,0
331,BUF,9/12/24,2,49,86,Thu,2,2,@,MIA,W 31-10,2,covered,49,under,0
332,MIA,9/12/24,-2,49,86,Thu,2,2,,BUF,L 10-31,-2,did not cover,49,under,0
333,NYJ,9/9/24,4,43.5,76,Mon,1,1,@,SFO,L 19-32,4,did not cover,43.5,over,0
334,SFO,9/9/24,-4,43.5,76,Mon,1,1,,NYJ,W 32-19,-4,covered,43.5,over,0
335,ATL,9/8/24,-3.5,42,76,Sun,1,1,,PIT,L 10-18,-3.5,did not cover,42,under,0
336,BUF,9/8/24,-6.5,46.5,61,Sun,1,1,,ARI,W 34-28,-6.5,did not cover,46.5,over,0
337,CAR,9/8/24,4,41.5,77,Sun,1,1,@,NOR,L 10-47,4,did not cover,41.5,over,0
338,CHI,9/8/24,-3.5,44.5,67,Sun,1,1,,TEN,W 24-17,-3.5,covered,44.5,under,0
339,CIN,9/8/24,-7.5,41,66,Sun,1,1,,NWE,L 10-16,-7.5,did not cover,41,under,0
340,CLE,9/8/24,-2.5,41,68,Sun,1,1,,DAL,L 17-33,-2.5,did not cover,41,over,0
341,IND,9/8/24,2.5,48.5,63,Sun,1,1,,HOU,L 27-29,2.5,covered,48.5,over,0
342,ARI,9/8/24,6.5,46.5,61,Sun,1,1,@,BUF,L 28-34,6.5,covered,46.5,over,0
343,DAL,9/8/24,2.5,41,68,Sun,1,1,@,CLE,W 33-17,2.5,covered,41,over,0
344,DEN,9/8/24,6,42,73,Sun,1,1,@,SEA,L 20-26,6,push,42,over,0
345,DET,9/8/24,-4.5,52.5,69,Sun,1,1,,LAR,W 26-20 (OT),-4.5,covered,52.5,under,0
346,HOU,9/8/24,-2.5,48.5,63,Sun,1,1,@,IND,W 29-27,-2.5,did not cover,48.5,over,0
347,JAX,9/8/24,3.5,49.5,91,Sun,1,1,@,MIA,L 17-20,3.5,covered,49.5,under,0
348,MIA,9/8/24,-3.5,49.5,91,Sun,1,1,,JAX,W 20-17,-3.5,did not cover,49.5,under,0
349,MIN,9/8/24,-1.5,41,64,Sun,1,1,@,NYG,W 28-6,-1.5,covered,41,under,0
350,NOR,9/8/24,-4,41.5,77,Sun,1,1,,CAR,W 47-10,-4,covered,41.5,over,0
351,NWE,9/8/24,7.5,41,66,Sun,1,1,@,CIN,W 16-10,7.5,covered,41,under,0
352,NYG,9/8/24,1.5,41,64,Sun,1,1,,MIN,L 6-28,1.5,did not cover,41,under,0
353,TEN,9/8/24,3.5,44.5,67,Sun,1,1,@,CHI,L 17-24,3.5,did not cover,44.5,under,0
354,PIT,9/8/24,3.5,42,76,Sun,1,1,@,ATL,W 18-10,3.5,covered,42,under,0
355,LVR,9/8/24,3,40,97,Sun,1,1,@,LAC,L 10-22,3,did not cover,40,under,0
356,LAR,9/8/24,4.5,52.5,69,Sun,1,1,@,DET,L 20-26 (OT),4.5,did not cover,52.5,under,0
357,LAC,9/8/24,-3,40,97,Sun,1,1,,LVR,W 22-10,-3,covered,40,under,0
358,SEA,9/8/24,-6,42,73,Sun,1,1,,DEN,W 26-20,-6,push,42,over,0
359,TAM,9/8/24,-3.5,42.5,93,Sun,1,1,,WAS,W 37-20,-3.5,covered,42.5,over,0
360,WAS,9/8/24,3.5,42.5,93,Sun,1,1,@,TAM,L 20-37,3.5,did not cover,42.5,over,0
361,GNB,9/6/24,2,49.5,63,Fri,1,1,@,PHI,L 29-34,2,did not cover,49.5,over,0
362,PHI,9/6/24,-2,49.5,63,Fri,1,1,,GNB,W 34-29,-2,covered,49.5,over,0
363,KAN,9/5/24,-3,47,67,Thu,1,1,,BAL,W 27-20,-3,covered,47,push,0
364,BAL,9/5/24,3,47,67,Thu,1,1,@,KAN,L 20-27,3,did not cover,47,push,0
1,JAX,1/7/24,-4,41.5,41,Sun,17,18,@,TEN,L 20-28,-4,did not cover,41.5,over,0
2,NOR,1/7/24,-3,42,52,Sun,17,18,,ATL,W 48-17,-3,covered,42,over,0
3,ATL,1/7/24,3,42,52,Sun,17,18,@,NOR,L 17-48,3,did not cover,42,over,0
4,BUF,1/7/24,-2.5,48,63,Sun,17,18,@,MIA,W 21-14,-2.5,covered,48,under,0
5,TEN,1/7/24,4,41.5,41,Sun,17,18,,JAX,W 28-20,4,covered,41.5,over,0
6,CAR,1/7/24,4,37,54,Sun,17,18,,TAM,L 0-9,4,did not cover,37,under,0
7,MIA,1/7/24,2.5,48,63,Sun,17,18,,BUF,L 14-21,2.5,did not cover,48,under,0
8,MIN,1/7/24,3.5,46,34,Sun,17,18,@,DET,L 20-30,3.5,did not cover,46,over,0
9,NYJ,1/7/24,1.5,29.5,33,Sun,17,18,@,NWE,W 17-3,1.5,covered,29.5,under,0
10,LAR,1/7/24,4,41,52,Sun,17,18,@,SFO,W 21-20,4,covered,41,push,0
11,TAM,1/7/24,-4,37,54,Sun,17,18,@,CAR,W 9-0,-4,covered,37,under,0
12,CHI,1/7/24,3,45,34,Sun,17,18,@,GNB,L 9-17,3,did not cover,45,under,0
13,CIN,1/7/24,-7.5,37,38,Sun,17,18,,CLE,W 31-14,-7.5,covered,37,over,0
14,PHI,1/7/24,-4.5,42,36,Sun,17,18,@,NYG,L 10-27,-4.5,did not cover,42,under,0
15,CLE,1/7/24,7.5,37,38,Sun,17,18,@,CIN,L 14-31,7.5,did not cover,37,over,0
16,NYG,1/7/24,4.5,42,36,Sun,17,18,,PHI,W 27-10,4.5,covered,42,under,0
17,ARI,1/7/24,3,47.5,48,Sun,17,18,,SEA,L 20-21,3,covered,47.5,under,0
18,DAL,1/7/24,-13,46.5,48,Sun,17,18,@,WAS,W 38-10,-13,covered,46.5,over,0
19,KAN,1/7/24,3.5,35.5,57,Sun,17,18,@,LAC,W 13-12,3.5,covered,35.5,under,0
20,SEA,1/7/24,-3,47.5,48,Sun,17,18,@,ARI,W 21-20,-3,did not cover,47.5,under,0
21,DEN,1/7/24,3,37,50,Sun,17,18,@,LVR,L 14-27,3,did not cover,37,over,0
22,NWE,1/7/24,-1.5,29.5,33,Sun,17,18,,NYJ,L 3-17,-1.5,did not cover,29.5,under,0
23,WAS,1/7/24,13,46.5,48,Sun,17,18,,DAL,L 10-38,13,did not cover,46.5,over,0
24,DET,1/7/24,-3.5,46,34,Sun,17,18,,MIN,W 30-20,-3.5,covered,46,over,0
25,LVR,1/7/24,-3,37,50,Sun,17,18,,DEN,W 27-14,-3,covered,37,over,0
26,LAC,1/7/24,-3.5,35.5,57,Sun,17,18,,KAN,L 12-13,-3.5,did not cover,35.5,under,0
27,SFO,1/7/24,-4,41,52,Sun,17,18,,LAR,L 20-21,-4,did not cover,41,push,0
28,GNB,1/7/24,-3,45,34,Sun,17,18,,CHI,W 17-9,-3,covered,45,under,0
29,HOU,1/6/24,-1.5,47.5,36,Sat,17,18,@,IND,W 23-19,-1.5,covered,47.5,under,0
30,PIT,1/6/24,-3,34.5,38,Sat,17,18,@,BAL,W 17-10,-3,covered,34.5,under,0
31,IND,1/6/24,1.5,47.5,36,Sat,17,18,,HOU,L 19-23,1.5,did not cover,47.5,under,0
32,BAL,1/6/24,3,34.5,38,Sat,17,18,,PIT,L 10-17,3,did not cover,34.5,under,0
33,LAC,12/31/23,3.5,36.5,41,Sun,16,17,@,DEN,L 9-16,3.5,did not cover,36.5,under,0
34,BAL,12/31/23,-3.5,46.5,50,Sun,16,17,,MIA,W 56-19,-3.5,covered,46.5,over,0
35,ATL,12/31/23,2.5,38,32,Sun,16,17,@,CHI,L 17-37,2.5,did not cover,38,over,0
36,NOR,12/31/23,2.5,42,66,Sun,16,17,@,TAM,W 23-13,2.5,covered,42,under,0
37,WAS,12/31/23,14,49.5,48,Sun,16,17,,SFO,L 10-27,14,did not cover,49.5,under,0
38,TAM,12/31/23,-2.5,42,66,Sun,16,17,,NOR,L 13-23,-2.5,did not cover,42,under,0
39,BUF,12/31/23,-14,40,35,Sun,16,17,,NWE,W 27-21,-14,did not cover,40,over,0
40,KAN,12/31/23,-6.5,44,36,Sun,16,17,,CIN,W 25-17,-6.5,covered,44,under,0
41,NWE,12/31/23,14,40,35,Sun,16,17,@,BUF,L 21-27,14,covered,40,over,0
42,LAR,12/31/23,-6,43.5,41,Sun,16,17,@,NYG,W 26-25,-6,did not cover,43.5,over,0
43,CAR,12/31/23,4,36.5,56,Sun,16,17,@,JAX,L 0-26,4,did not cover,36.5,under,0
44,CHI,12/31/23,-2.5,38,32,Sun,16,17,,ATL,W 37-17,-2.5,covered,38,over,0
45,CIN,12/31/23,6.5,44,36,Sun,16,17,@,KAN,L 17-25,6.5,did not cover,44,under,0
46,TEN,12/31/23,4,44,64,Sun,16,17,@,HOU,L 3-26,4,did not cover,44,under,0
47,SFO,12/31/23,-14,49.5,48,Sun,16,17,@,WAS,W 27-10,-14,covered,49.5,under,0
48,MIN,12/31/23,-1.5,43,23,Sun,16,17,,GNB,L 10-33,-1.5,did not cover,43,push,0
49,LVR,12/31/23,4,42.5,32,Sun,16,17,@,IND,L 20-23,4,covered,42.5,over,0
50,IND,12/31/23,-4,42.5,32,Sun,16,17,,LVR,W 23-20,-4,did not cover,42.5,over,0
51,PHI,12/31/23,-12,48,45,Sun,16,17,,ARI,L 31-35,-12,did not cover,48,over,0
52,ARI,12/31/23,12,48,45,Sun,16,17,@,PHI,W 35-31,12,covered,48,over,0
53,NYG,12/31/23,6,43.5,41,Sun,16,17,,LAR,L 25-26,6,covered,43.5,over,0
54,SEA,12/31/23,-4.5,40.5,47,Sun,16,17,,PIT,L 23-30,-4.5,did not cover,40.5,over,0
55,PIT,12/31/23,4.5,40.5,47,Sun,16,17,@,SEA,W 30-23,4.5,covered,40.5,over,0
56,DEN,12/31/23,-3.5,36.5,41,Sun,16,17,,LAC,W 16-9,-3.5,covered,36.5,under,0
57,JAX,12/31/23,-4,36.5,56,Sun,16,17,,CAR,W 26-0,-4,covered,36.5,under,0
58,HOU,12/31/23,-4,44,64,Sun,16,17,,TEN,W 26-3,-4,covered,44,under,0
59,MIA,12/31/23,3.5,46.5,50,Sun,16,17,@,BAL,L 19-56,3.5,did not cover,46.5,over,0
60,GNB,12/31/23,1.5,43,23,Sun,16,17,@,MIN,W 33-10,1.5,covered,43,push,0
61,DAL,12/30/23,-5,52,55,Sat,16,17,,DET,W 20-19,-5,did not cover,52,under,0
62,DET,12/30/23,5,52,55,Sat,16,17,@,DAL,L 19-20,5,covered,52,under,0
63,CLE,12/28/23,-7.5,35,47,Thu,16,17,,NYJ,W 37-20,-7.5,covered,35,over,0
64,NYJ,12/28/23,7.5,35,47,Thu,16,17,@,CLE,L 20-37,7.5,did not cover,35,over,0
65,SFO,12/25/23,-6,46.5,56,Mon,15,16,,BAL,L 19-33,-6,did not cover,46.5,over,0
66,LVR,12/25/23,10.5,40.5,38,Mon,15,16,@,KAN,W 20-14,10.5,covered,40.5,under,0
67,PHI,12/25/23,-13.5,43,51,Mon,15,16,,NYG,W 33-25,-13.5,did not cover,43,over,0
68,BAL,12/25/23,6,46.5,56,Mon,15,16,@,SFO,W 33-19,6,covered,46.5,over,0
69,KAN,12/25/23,-10.5,40.5,38,Mon,15,16,,LVR,L 14-20,-10.5,did not cover,40.5,under,0
70,NYG,12/25/23,13.5,43,51,Mon,15,16,@,PHI,L 25-33,13.5,covered,43,over,0
71,SEA,12/24/23,-3.5,41.5,61,Sun,15,16,@,TEN,W 20-17,-3.5,did not cover,41.5,under,0
72,ATL,12/24/23,-3,45,60,Sun,15,16,,IND,W 29-10,-3,covered,45,under,0
73,JAX,12/24/23,-1,43.5,72,Sun,15,16,@,TAM,L 12-30,-1,did not cover,43.5,under,0
74,CAR,12/24/23,4,37.5,67,Sun,15,16,,GNB,L 30-33,4,covered,37.5,over,0
75,NWE,12/24/23,7,35,28,Sun,15,16,@,DEN,W 26-23,7,covered,35,over,0
76,CHI,12/24/23,-4,43,52,Sun,15,16,,ARI,W 27-16,-4,covered,43,push,0
77,TAM,12/24/23,1,43.5,72,Sun,15,16,,JAX,W 30-12,1,covered,43.5,under,0
78,CLE,12/24/23,-3,40,68,Sun,15,16,@,HOU,W 36-22,-3,covered,40,over,0
79,IND,12/24/23,3,45,60,Sun,15,16,@,ATL,L 10-29,3,did not cover,45,under,0
80,ARI,12/24/23,4,43,52,Sun,15,16,@,CHI,L 16-27,4,did not cover,43,push,0
81,WAS,12/24/23,3,37.5,45,Sun,15,16,@,NYJ,L 28-30,3,covered,37.5,over,0
82,DAL,12/24/23,1.5,49,75,Sun,15,16,@,MIA,L 20-22,1.5,did not cover,49,under,0
83,TEN,12/24/23,3.5,41.5,61,Sun,15,16,,SEA,L 17-20,3.5,covered,41.5,under,0
84,DEN,12/24/23,-7,35,28,Sun,15,16,,NWE,L 23-26,-7,did not cover,35,over,0
85,MIA,12/24/23,-1.5,49,75,Sun,15,16,,DAL,W 22-20,-1.5,covered,49,under,0
86,DET,12/24/23,-3,47.5,54,Sun,15,16,@,MIN,W 30-24,-3,covered,47.5,over,0
87,GNB,12/24/23,-4,37.5,67,Sun,15,16,@,CAR,W 33-30,-4,did not cover,37.5,over,0
88,HOU,12/24/23,3,40,68,Sun,15,16,,CLE,L 22-36,3,did not cover,40,over,0
89,MIN,12/24/23,3,47.5,54,Sun,15,16,,DET,L 24-30,3,did not cover,47.5,over,0
90,NYJ,12/24/23,-3,37.5,45,Sun,15,16,,WAS,W 30-28,-3,did not cover,37.5,over,0
91,BUF,12/23/23,-12.5,44,62,Sat,15,16,@,LAC,W 24-22,-12.5,did not cover,44,over,0
92,PIT,12/23/23,2.5,38,49,Sat,15,16,,CIN,W 34-11,2.5,covered,38,over,0
93,CIN,12/23/23,-2.5,38,49,Sat,15,16,@,PIT,L 11-34,-2.5,did not cover,38,over,0
94,LAC,12/23/23,12.5,44,62,Sat,15,16,,BUF,L 22-24,12.5,covered,44,over,0
95,LAR,12/21/23,-4,46,63,Thu,15,16,,NOR,W 30-22,-4,covered,46,over,0
96,NOR,12/21/23,4,46,63,Thu,15,16,@,LAR,L 22-30,4,did not cover,46,over,0
97,PHI,12/18/23,-3,45,46,Mon,14,15,@,SEA,L 17-20,-3,did not cover,45,under,0
98,SEA,12/18/23,3,45,46,Mon,14,15,,PHI,W 20-17,3,covered,45,under,0
99,NWE,12/17/23,8.5,37,53,Sun,14,15,,KAN,L 17-27,8.5,did not cover,37,over,0
100,ATL,12/17/23,-3,33,47,Sun,14,15,@,CAR,L 7-9,-3,did not cover,33,under,0
101,NYJ,12/17/23,9,36.5,76,Sun,14,15,@,MIA,L 0-30,9,did not cover,36.5,under,0
102,BUF,12/17/23,-2,49.5,48,Sun,14,15,,DAL,W 31-10,-2,covered,49.5,under,0
103,CAR,12/17/23,3,33,47,Sun,14,15,,ATL,W 9-7,3,covered,33,under,0
104,CHI,12/17/23,3,38,45,Sun,14,15,@,CLE,L 17-20,3,push,38,under,0
105,JAX,12/17/23,3,42,58,Sun,14,15,,BAL,L 7-23,3,did not cover,42,under,0
106,MIA,12/17/23,-9,36.5,76,Sun,14,15,,NYJ,W 30-0,-9,covered,36.5,under,0
107,TEN,12/17/23,-3,37,48,Sun,14,15,,HOU,L 16-19 (OT),-3,did not cover,37,under,0
108,BAL,12/17/23,-3,42,58,Sun,14,15,@,JAX,W 23-7,-3,covered,42,under,0
109,KAN,12/17/23,-8.5,37,53,Sun,14,15,@,NWE,W 27-17,-8.5,covered,37,over,0
110,CLE,12/17/23,-3,38,45,Sun,14,15,,CHI,W 20-17,-3,push,38,under,0
111,NYG,12/17/23,5.5,39.5,56,Sun,14,15,@,NOR,L 6-24,5.5,did not cover,39.5,under,0
112,LAR,12/17/23,-6.5,50.5,78,Sun,14,15,,WAS,W 28-20,-6.5,covered,50.5,under,0
113,TAM,12/17/23,3.5,42.5,42,Sun,14,15,@,GNB,W 34-20,3.5,covered,42.5,over,0
114,DAL,12/17/23,2,49.5,48,Sun,14,15,@,BUF,L 10-31,2,did not cover,49.5,under,0
115,SFO,12/17/23,-12,48.5,76,Sun,14,15,@,ARI,W 45-29,-12,covered,48.5,over,0
116,NOR,12/17/23,-5.5,39.5,56,Sun,14,15,,NYG,W 24-6,-5.5,covered,39.5,under,0
117,GNB,12/17/23,-3.5,42.5,42,Sun,14,15,,TAM,L 20-34,-3.5,did not cover,42.5,over,0
118,HOU,12/17/23,3,37,48,Sun,14,15,@,TEN,W 19-16 (OT),3,covered,37,under,0
119,PIT,12/16/23,1,42.5,53,Sat,14,15,@,IND,L 13-30,1,did not cover,42.5,over,0
120,CIN,12/16/23,-3,41,53,Sat,14,15,,MIN,W 27-24 (OT),-3,push,41,over,0
121,IND,12/16/23,-1,42.5,53,Sat,14,15,,PIT,W 30-13,-1,covered,42.5,over,0
